"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-12-31,"Turtle Creek","PA","Pittsburgh","Allegheny",5478,50300,-0.00592885375494071,-0.00592885375494071,-0.00984251968503937,-0.0126283824414447,-0.00312647367691776,"2007-05","2007-Q2",57500,-0.125217391304348,"2004-06"
2014-12-31,"Charlestown Township","PA","Philadelphia","Chester",5479,448300,0.00335720680393912,0.00605924596050269,0.0575607454588346,0.0075282222610431,0.0108099233388257,"2008-01","2008-Q1",479000,-0.0640918580375783,"2006-06"
2014-12-31,"Union Gap","WA","Yakima","Yakima",5480,92000,-0.00216919739696312,-0.00432900432900433,-0.103313840155945,-0.0125562840369208,0.0116968378245905,"2014-02","2014-Q1",103600,-0.111969111969112,"2007-07"
2014-12-31,"Morongo Valley","CA","Riverside","San Bernardino",5481,120400,0.0186125211505922,0.036144578313253,-0.0608424336973479,-0.00458734946786798,-0.0389879170353696,"2006-03","2006-Q1",228600,-0.47331583552056,"2003-11"
2014-12-31,"Braidwood","IL","Chicago","Will",5482,144600,0,0.00346981263011797,0.0640176600441501,-0.00901775614465017,0.000973378945907655,"2006-11","2006-Q4",159800,-0.0951188986232791,"2005-01"
2014-12-31,"Glenarden","MD","Washington","Prince Georges",5483,221000,-0.00405588102748986,-0.0107430617726052,0.148051948051948,0.00108952501126125,0.00555035597465925,"2007-05","2007-Q2",328900,-0.328063241106719,"2005-03"
2014-12-31,"Sugar Creek","WI","Whitewater","Walworth",5484,139400,-0.00428571428571429,0.0123456790123457,0.0673813169984686,0.00406635551694268,0.0146764310622782,"2007-06","2007-Q2",146400,-0.0478142076502732,"2006-11"
2014-12-31,"Whitehouse","OH","Toledo","Lucas",5485,193500,0.00571725571725572,0.0270700636942675,0.126965637740245,0.0259927282687598,0.00304789229503211,"2006-05","2006-Q2",195300,-0.00921658986175115,"2005-10"
2014-12-31,"Lucama","NC","Wilson","Wilson",5486,110400,0.00821917808219178,0.0222222222222222,0.00272479564032698,0.00646406563709534,0.00964061811814276,"2007-02","2007-Q1",116800,-0.0547945205479452,"2006-08"
2014-12-31,"Kingsville","MD","Baltimore","Baltimore",5487,359400,0.0011142061281337,0.00728699551569507,0.0348401957961417,-0.0029782130685494,0.00535766620373956,"2006-07","2006-Q3",416900,-0.137922763252579,"2005-04"
